"hid","doc_id","year","region","station","country","act","class","new_doc_id"
"HID0118","MD1876",1879,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1879"
"HID0119","MD1876",1879,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1879"
"HID0120","MD1876",1880,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1880"
"HID0121","MD1876",1880,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1880"
"HID0122","MD1876",1880,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1880"
"HID0123","MD1876",1880,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1880"
"HID0124","MD1876",1880,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1880"
"HID0125","MD1876",1880,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1880"
"HID0126","MD1876",1880,"Madras Presidency","Trichinopoly","British India","Act XXII of 1864","Military","MD1880"
"HID0127","MD1876",1880,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1880"
"HID0128","MD1876",1880,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1880"
"HID0129","MD1876",1880,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1880"
"HID0130","MD1876",1880,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1880"
"HID0131","MD1876",1880,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1880"
"HID0132","MD1876",1880,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1880"
"HID0133","MD1876",1881,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1881"
"HID0134","MD1876",1881,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1881"
"HID0135","MD1876",1881,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1881"
"HID0136","MD1876",1881,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1881"
"HID0137","MD1876",1881,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1881"
"HID0138","MD1876",1881,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1881"
"HID0139","MD1876",1881,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1881"
"HID0140","MD1876",1881,"Madras Presidency","Trichinopoly","British India","Act XXII of 1864","Military","MD1881"
"HID0141","MD1876",1881,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1881"
"HID0142","MD1876",1881,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1881"
