"hid","doc_id","year","region","station","country","act","class"
"HID0107","MD1879",1879,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0108","MD1879",1879,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0109","MD1879",1879,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0110","MD1879",1879,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0111","MD1879",1879,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military"
"HID0112","MD1879",1879,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0113","MD1879",1879,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military"
"HID0114","MD1879",1879,"Madras Presidency","Trichinopoly","British India","Act XXII of 1864","Military"
"HID0115","MD1879",1879,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0116","MD1879",1879,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil"
"HID0117","BB1879",1879,"British Burma Division","Rangoon","British Burma","Act XIV of 1868","Civil"
"HID0118","BB1879",1879,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0119","BB1879",1879,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
"HID0120","MD1880",1880,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0121","MD1880",1880,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0122","MD1880",1880,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0123","MD1880",1880,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0124","MD1880",1880,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military"
"HID0125","MD1880",1880,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0126","MD1880",1880,"Madras Presidency","Trichinopoly","British India","Act XXII of 1864","Military"
"HID0127","MD1880",1880,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0128","MD1880",1880,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military"
"HID0129","MD1880",1880,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil"
"HID0130","BB1880",1880,"British Burma Division","Rangoon","British Burma","Act XIV of 1868","Civil"
"HID0131","BB1880",1880,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0132","BB1880",1880,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
"HID0133","MD1881",1881,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0134","MD1881",1881,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0135","MD1881",1881,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0136","MD1881",1881,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0137","MD1881",1881,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military"
"HID0138","MD1881",1881,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0139","MD1881",1881,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military"
"HID0140","MD1881",1881,"Madras Presidency","Trichinopoly","British India","Act XXII of 1864","Military"
"HID0141","MD1881",1881,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0142","MD1881",1881,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil"
"HID0143","BB1881",1881,"British Burma Division","Rangoon","British Burma","Act XIV of 1868","Civil"
"HID0144","BB1881",1881,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0145","BB1881",1881,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
"HID0146","MD1882",1882,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0147","MD1882",1882,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0148","MD1882",1882,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0149","MD1882",1882,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0150","MD1882",1882,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military"
"HID0151","MD1882",1882,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0152","MD1882",1882,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0153","MD1882",1882,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military"
"HID0154","MD1882",1882,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil"
"HID0155","BB1882",1882,"British Burma Division","Rangoon","British Burma","Act XIV of 1868","Civil"
"HID0156","BB1882",1882,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0157","BB1882",1882,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
"HID0158","MD1883",1883,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0159","MD1883",1883,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0160","MD1883",1883,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0161","MD1883",1883,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0162","MD1883",1883,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military"
"HID0163","MD1883",1883,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0164","MD1883",1883,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
